2.25	1.39	 0.324	 0.643	 0.033	2.10
2.30	1.35	 0.386	 0.589	 0.025	2.09
1.20	492835.79	 0.000	 0.400	 0.600	5.00
1.25	492835.79	 0.000	 0.501	 0.499	3.99
1.30	492835.79	 0.000	 0.601	 0.399	3.33
1.35	101.62	 0.001	 0.691	 0.308	2.89
1.40	18.89	 0.013	 0.739	 0.249	2.67
1.45	8.90	 0.039	 0.742	 0.219	2.59
1.20	492835.79	 0.000	 0.400	 0.600	5.00
1.25	492835.79	 0.000	 0.501	 0.499	3.99
1.30	492835.79	 0.000	 0.601	 0.399	3.33
1.35	101.62	 0.001	 0.693	 0.305	2.88
1.40	18.89	 0.017	 0.744	 0.239	2.64
