1.20	492835.79	 0.000	 0.400	 0.600	5.00
1.25	492835.79	 0.000	 0.501	 0.499	3.99
1.30	492835.79	 0.000	 0.601	 0.399	3.33
1.35	101.62	 0.003	 0.691	 0.307	2.89
1.40	18.89	 0.017	 0.736	 0.247	2.67
1.45	8.90	 0.035	 0.760	 0.206	2.54
1.50	5.73	 0.065	 0.744	 0.190	2.51
1.55	4.26	 0.074	 0.757	 0.169	2.45
1.60	3.44	 0.094	 0.746	 0.160	2.43
1.65	2.92	 0.123	 0.727	 0.151	2.41
1.70	2.57	 0.137	 0.715	 0.148	2.42
1.75	2.31	 0.168	 0.733	 0.099	2.27
1.80	2.12	 0.182	 0.729	 0.089	2.25
1.85	1.96	 0.222	 0.675	 0.103	2.30
1.90	1.84	 0.226	 0.678	 0.096	2.28
1.95	1.74	 0.234	 0.696	 0.070	2.20
2.00	1.66	 0.248	 0.687	 0.065	2.19
2.05	1.59	 0.266	 0.663	 0.071	2.21
2.10	1.53	 0.294	 0.646	 0.060	2.19
2.15	1.48	 0.286	 0.670	 0.045	2.13
2.20	1.43	 0.319	 0.642	 0.039	2.12
2.25	1.39	 0.310	 0.652	 0.038	2.12
2.30	1.35	 0.354	 0.621	 0.025	2.08
1.20	492835.79	 0.000	 0.400	 0.600	5.00
1.25	492835.79	 0.000	 0.501	 0.499	3.99
1.30	492835.79	 0.000	 0.601	 0.399	3.33
1.35	101.62	 0.003	 0.691	 0.307	2.89
1.40	18.89	 0.015	 0.731	 0.254	2.70
1.45	8.90	 0.033	 0.760	 0.207	2.55
1.50	5.73	 0.061	 0.747	 0.192	2.51
1.55	4.26	 0.080	 0.766	 0.154	2.40
1.60	3.44	 0.108	 0.746	 0.146	2.39
1.65	2.92	 0.119	 0.743	 0.137	2.37
1.70	2.57	 0.162	 0.712	 0.126	2.36
1.75	2.31	 0.163	 0.729	 0.108	2.30
1.80	2.12	 0.175	 0.707	 0.118	2.33
1.85	1.96	 0.200	 0.716	 0.084	2.24
1.90	1.84	 0.234	 0.674	 0.092	2.27
1.95	1.74	 0.219	 0.716	 0.066	2.18
2.00	1.66	 0.264	 0.667	 0.069	2.21
2.05	1.59	 0.264	 0.683	 0.053	2.15
2.10	1.53	 0.294	 0.658	 0.048	2.15
2.15	1.48	 0.305	 0.644	 0.051	2.16
2.20	1.43	 0.306	 0.659	 0.035	2.11
2.25	1.39	 0.355	 0.621	 0.025	2.08
2.30	1.35	 0.345	 0.630	 0.025	2.08
1.20	492835.79	 0.000	 0.400	 0.600	5.00
1.25	492835.79	 0.000	 0.501	 0.499	3.99
1.30	492835.79	 0.000	 0.601	 0.399	3.33
1.35	101.62	 0.001	 0.691	 0.308	2.89
1.40	18.89	 0.014	 0.747	 0.239	2.64
1.45	8.90	 0.035	 0.751	 0.214	2.57
1.50	5.73	 0.067	 0.744	 0.189	2.51
1.55	4.26	 0.083	 0.751	 0.166	2.44
1.60	3.44	 0.105	 0.743	 0.152	2.41
1.65	2.92	 0.142	 0.707	 0.151	2.43
1.70	2.57	 0.145	 0.708	 0.147	2.41
1.75	2.31	 0.163	 0.726	 0.111	2.31
1.80	2.12	 0.200	 0.686	 0.114	2.33
1.85	1.96	 0.229	 0.679	 0.092	2.27
